batch,id,client,title,description,price
812e5367-d964-417d-9183-3c8d0bf8f86b,2a8524b2-e92e-4a0a-97f5-e68ed893f2f5,Lesly,mVNhxyikjLMgjMVrDqayHcMsqKDWyBtmkzszMarcqzlWpkWDj,aGFd9YJYAhyq3g9aqnxIlY4PaCJQpHXnUb_mSmq2oHZRZLxTJ9Ti,323.39
812e5367-d964-417d-9183-3c8d0bf8f86b,dbf1c383-d5d1-4916-b3ac-acbc176c07c7,Elise,nKXBvJpTTnAIENVzT YkOOGCRajPVmMZeePOY RdqSlQdHyKCr,CMkCvFiesqCPB63SBPgXskl565XRo8aLd4NIsMIUGOGDgWw-RmYqIeC6TUT9VfGiwA6Bv4-yLEr,171.3
812e5367-d964-417d-9183-3c8d0bf8f86b,bfaf49a2-a413-4cd3-9e3a-73f8ddc190a1,Calla,IaDRUdFbROdBUA vyvWVrguP VNoNg,ztbLQPARD5U8ENfRkk348L4RxQjhRm-5PxMtnufDXisO2ScQR_Asxm_iM5MpRGf9IkNadNvlOjKubi6llMCvBzShkFAuLfiLEOy7E-wAdqsRkG6FPWcIJthNYttU7B11HHIzVi kcQSAq9ZrDmtIu8Q41vUqdiI,65.03
812e5367-d964-417d-9183-3c8d0bf8f86b,1c89082d-7b04-48de-b02e-4558b96af0c8,Brooks,MGeqLfRjWtv ZNa SUXkqDVNJLsFJWHhDNooZmzufuvfHiufD,WZ95HHdomB-c9XuLP7xdtHqOro9uThVJVHDBiTZ2amNjzHjAaZ 9uRPF_f3_VzRY-e,873.48
812e5367-d964-417d-9183-3c8d0bf8f86b,98d3c150-994b-4fee-ba94-987a4c9b6a22,Yetty,VzrcUBhsdUySMblTMxOTvgiIDLMVRmeOLwGWDbJYkK,wXDzA9zEzr-gSoLeT1MLh_ssufFvjXpl5tNtMmvP3uEnfUO6hA81pgIex6QZr9_nC2m2CXtbxV6IiMcjvfr3I5qTtoGOk2m9,203.2
812e5367-d964-417d-9183-3c8d0bf8f86b,8e0a2d68-f64f-4e04-bf64-89cc898cb5b3,Gilda,JPloLUJKEeHrFfXyuPTAG jwEAukRJrE Swx,hvkK-wg-aIAC-YBhUmEM5Z5hjQNK-eNwCb921rpBm jFGCufsIr2a6zRLj8w9kixkyEfkvQXtLb6lOvFoptLQni3SLsSpBcU2mh-GI4 TUk2AlgSyih4weKfj8JfmXLx1F9duWtqegrKidnvr-Qv1jldwlWt6vOeDpW4OrwfSaR-a,976.84
812e5367-d964-417d-9183-3c8d0bf8f86b,e4b380b2-fbfc-4f10-8592-e90ad6e6c50f,Eadie,rOGsxnsJYIOQVoPZqmhmjfbiO,wZ86uMXOsLJbRLZO2DsdqjaYYXoIsSpp6Y5UyYyldIAZpZD2gn--F5UyGgZi5FnNMhXA2MnaSl3IgxuWoTNEro drws4 lM-DRjJGwKJdyjKFKVDV9DxllLDt2F_RuW-votDwjylnxIz2br9VPy,638.89
812e5367-d964-417d-9183-3c8d0bf8f86b,755848e9-ef6a-4ced-91d3-5a40722fb788,Jaclyn,PYIPUCsMNKptIEDuVevuRbiebvcLDjTChOFozPQP PvQB,S7PBVWe-6PoChPdZ1 CYZy9My7iK_T2 AfSA2Cauoifbnes-tTXJ2hP_wdSkFHKw3yDIIWFbEUnkdphjrN7PRbs-BKCZRqmH83FYbUbJiXjThs2HLF- ,763.28
812e5367-d964-417d-9183-3c8d0bf8f86b,31109f64-1fb9-4586-b23b-d2aa1aae6b86,Flo,XDTydzhLqgKjfoMdTYreMNsueVbbtvEKFB,r_Xe9v1CoAMh1SUR4mX1EAkARPzlwABZUHuhxRLcJjCLdscdLbKjZZ2DY_dKA9GgrZwuND zpQoYQUoQULxjDZqT7wiaz_G NVhMy7i 8bsijqQqLH6qwjvv-u54ZVAjbEwJ T-K3UcXLGNky,458.48
812e5367-d964-417d-9183-3c8d0bf8f86b,e1cfd8de-f35f-4dec-9772-826a1a216798,Tera,DlpkpPmmHaMJgXbWEJVWFGbCJxWeQxOlBIXwDFsjhWFmFhRM,w3YdgptG-JyqV_I_dM8c8Vv-Eu-DnSC-uCjwgdcvkqFCS-Sn9LKC_x5beoCIMleHeSn-klxiX93tM_K9GDu-UEX3OSIzJV5X-SaNW-asd9n53n_I4EO6HBWPiYJdylyZvdHDTBxgk8YSKyO8F2lquxne5zoDgLdp4tp9pM7Ydc6dNJrXfmij_RFC7BL8ewLw,890.95
812e5367-d964-417d-9183-3c8d0bf8f86b,66e407d8-9655-45a3-b6fd-000184cdd974,Devina,LxMiNHPBNlAEdwkrmdurwogKOPWziE ,SKy6K-Jl2apVidZhybe8azlMH3DbOaC7qrYZxkDzeRfEIX6GS i2DcCCWqDnn_,289.66
812e5367-d964-417d-9183-3c8d0bf8f86b,82c4389b-3251-47ac-a60e-4362af31de06,Bobbi,pSLeekPCwYXCBmdDpxNNaWITfSk eIDpMVNXTWqViMLBW Q,cSr7d2EOsEynwwkkFmUmRFde6DJEYi8hYW_yIoPzTKGAfapEHbJtX2 NO5tKT2kjM_v8VvI_,361.27
812e5367-d964-417d-9183-3c8d0bf8f86b,65998b23-bbb6-48c2-80c7-4ac62dde5b0f,Doralynne,AilZzJndfVSPhPqbPYWW,zr4bXGZd-JHc5ataUUuYBTvowtHRCvUZBPQZR Swlp1SHq575p3Kih_MJ7PdOH4v9Qn3Q sPz4kMipukwpcdLkZhj6xZigb3lcpuyR_Gcvk3YVJjyUi86wliNsxGCc3urvbbBcXsd_PAqL5jV6bf,18.98
